               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10713,            0.060162,            0.023775,             0.56175,             0.20791,             0.17762,            0.080855,            0.093971,            0.064874,            0.016215,           0.0033318,           0.0033318,            0.070014
                   1,            0.096707,            0.063789,            0.016313,             0.66775,             0.22254,             0.24379,             0.11588,            0.090647,             0.06443,            0.014509,           0.0064012,           0.0064012,             0.03975
                   2,            0.094158,            0.064318,              0.0153,             0.66389,             0.23895,             0.26079,             0.12464,            0.089227,            0.064646,            0.013838,           0.0092066,           0.0092066,           0.0092218
                   3,            0.092317,            0.064344,            0.014758,             0.56698,             0.28348,             0.28795,             0.13871,            0.087745,            0.064271,            0.013153,            0.008812,            0.008812,            0.008812
                   4,            0.091101,            0.064039,             0.01432,              0.6305,             0.28653,              0.3074,             0.15064,            0.086745,            0.064069,            0.012757,            0.008812,            0.008812,            0.008812
                   5,             0.09033,            0.063959,            0.014043,             0.59222,              0.3088,             0.31864,               0.157,            0.086097,            0.063896,            0.012494,            0.008416,            0.008416,            0.008416
                   6,            0.089809,            0.063924,             0.01383,             0.59122,             0.32155,             0.32904,             0.16264,            0.085562,            0.063651,            0.012298,             0.00802,             0.00802,             0.00802
                   7,            0.089262,            0.063747,            0.013649,             0.59212,             0.32596,              0.3359,             0.16678,             0.08518,            0.063536,            0.012125,            0.007624,            0.007624,            0.007624
                   8,            0.089028,            0.063699,            0.013517,             0.60032,             0.33069,             0.34282,             0.17112,            0.084865,            0.063412,            0.011984,            0.007228,            0.007228,            0.007228
                   9,            0.088652,            0.063593,            0.013436,             0.61791,              0.3295,             0.34584,              0.1735,            0.084615,            0.063375,            0.011901,            0.006832,            0.006832,            0.006832
                  10,            0.088481,            0.063534,             0.01332,             0.60744,             0.33511,             0.35034,             0.17631,            0.084403,            0.063274,            0.011819,            0.006436,            0.006436,            0.006436
                  11,             0.08812,            0.063291,            0.013184,             0.59912,             0.34495,             0.35541,             0.17856,            0.084244,            0.063207,            0.011748,             0.00604,             0.00604,             0.00604
                  12,            0.087935,            0.063372,            0.013112,             0.62804,             0.33572,             0.35855,             0.18024,            0.084112,            0.063154,            0.011699,            0.005644,            0.005644,            0.005644
                  13,             0.08774,            0.063297,            0.013025,             0.61255,             0.34367,             0.36071,              0.1815,            0.084005,            0.063113,            0.011657,            0.005248,            0.005248,            0.005248
                  14,            0.087532,            0.063154,            0.012971,             0.60902,             0.34809,             0.36299,             0.18305,            0.083914,            0.063084,             0.01162,            0.004852,            0.004852,            0.004852
                  15,            0.087217,            0.063166,            0.012867,             0.58556,              0.3583,             0.36502,             0.18418,            0.083837,            0.063055,            0.011591,            0.004456,            0.004456,            0.004456
                  16,            0.087089,            0.062748,            0.012805,             0.60296,             0.34998,             0.36477,             0.18471,            0.083767,            0.063031,            0.011565,             0.00406,             0.00406,             0.00406
                  17,             0.08689,              0.0627,            0.012724,             0.63339,             0.33934,             0.36584,             0.18555,            0.083706,            0.063013,            0.011543,            0.003664,            0.003664,            0.003664
                  18,            0.086693,            0.062685,            0.012622,              0.6262,             0.34266,             0.36661,             0.18646,            0.083643,            0.062971,            0.011518,            0.003268,            0.003268,            0.003268
                  19,            0.086475,            0.062842,             0.01253,             0.63915,             0.34083,             0.36873,             0.18712,            0.083584,            0.062954,            0.011495,            0.002872,            0.002872,            0.002872
                  20,            0.086296,            0.062629,            0.012473,             0.59382,             0.35912,             0.36955,             0.18765,            0.083527,            0.062932,            0.011472,            0.002476,            0.002476,            0.002476
                  21,            0.086088,            0.062562,            0.012404,             0.62739,             0.34697,             0.37086,             0.18854,            0.083471,            0.062897,             0.01145,             0.00208,             0.00208,             0.00208
                  22,            0.085822,            0.062124,            0.012245,             0.63729,              0.3452,             0.37159,              0.1893,            0.083416,            0.062883,            0.011427,            0.001684,            0.001684,            0.001684
                  23,            0.085657,            0.062279,            0.012198,             0.61018,             0.35626,             0.37263,             0.18983,            0.083361,            0.062854,            0.011404,            0.001288,            0.001288,            0.001288
                  24,            0.085382,            0.061865,            0.012069,             0.62399,             0.35278,             0.37392,             0.19057,            0.083309,            0.062835,            0.011382,            0.000892,            0.000892,            0.000892
